explainer,is_documented,is_implemented,source_paper_tag,description,source_code,implementation_link,supported_models,outputs,output_attribution,output_importance,output_interaction,supported_model_model_agnostic,supported_model_tree_based,supported_model_neural_network
exact_shapley_values,1,1,shapley1953quota,"is a permutation-based xAI algorithm following a game theory approach: Iteratively Order the features randomly, then add them to the input one at a time following this order, and calculate their expected marginal contribution \citep{sundararajan2020many}. The output is unique given a set of constrains defined in the original paper.",https://github.com/slundberg/shap,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/shap_explainer.py,"""['model_agnostic']""","""['importance']""",False,True,False,True,True,True
kernel_shap,0.75,1,lundberg2017unified,it approximates the Shapley values with a constant noise \citep{janzing2020feature}.,https://github.com/slundberg/shap,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/shap_explainer.py,"""['model_agnostic']""","""['attribution','importance']""",True,True,False,True,True,True
tree_shap,0.5,1,lundberg2018consistent,accurately compute the shap values using the structure of the tree model.,,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/shap_explainer.py,"""['tree_based']""","""['attribution','importance']""",True,True,False,False,True,False
saabas,0.75,1,-,explain tree based models by decomposing each prediction into bias and feature contribution components,https://github.com/andosa/treeinterpreter/,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/saabas.py,"""['tree_based']""","""['attribution','importance']""",True,True,False,False,True,False
lime,0.5,1,ribeiro2016should,it explains the model locally by generating an interpretable model approximating the original one.,,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/lime.py,"""['model_agnostic']""","""['attribution','importance']""",True,True,False,True,True,True
archipelago,1.0,1,tsang2020does,"separate the input features into sets. all features inside a set interact, and there is no interaction outside a set. ArchAttribute is an interaction attribution method. ArchDetect is the corresponding interaction detector.",https://github.com/mtsang/archipelago/blob/main/experiments/1.%20archdetect/1.%20synthetic_performance.ipynb,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/archipelago.py,"""['model_agnostic']""","""['interaction']""",False,False,True,True,True,True
Difference,0.0,,,,,,,,,,,,,
anova,0.75,0.75,,"Fisher (1921) also developed one of the foundations of statistical analysis called Analysis of Variance (ANOVA) including two-way ANOVA (Fisher, 1925),
Multi-way ANOVA exists to detect interactions of higher-orders combinations, not just between pairs of features.
A significant problem with individual testing methods is that they require an exponentially growing number of
tests as the desired interaction order increases. Not only is this approach intractable, but also has a high
chance of generating false positives or a high false discovery rate (Benjamini and Hochberg, 1995) that arises
from multiple testing. see https://arxiv.org/pdf/2103.03103.pdf",,https://github.com/Karim-53/Compare-xAI/blob/main/explainers/anova.py,"""['model_agnostic']""","""['interaction']""",False,False,True,True,True,True
IG: Integrated Gradients,0.25,to implement,,"IG is an analog of the Aumann-Shapley method from cost-sharing [4]. We will discuss the sense in which IG is an extension of the Shapley value in Section 4.1 https://arxiv.org/pdf/1908.08474.pdf

IG uses the fundamental theorem of calculus to provide additive explanations of a prediction (Sundararajan et al., 2017). This method is very popular in computer vision where its computational efficiency and saliency are prized, even though other work has exposed some of its shortcomings in providing an interpretation (Adebayo et al., 2018).  see  https://arxiv.org/pdf/2103.03103.pdf

The Integrated Gradients (IG) (Sundararajan et al., 2017) is an extremely
popular path integration method used for feature attribution. It obeys a host of axioms similar to
Shapley index while also being applicable to continuous input variables. It uses the following equation
to integrate over the model’s decision output F from a baseline input x’ to the input of interest x
with a linear interpolation.Because it works on any differentiable model, it has become a staple for interpretation in some deep learning communities. https://arxiv.org/pdf/2103.03103.pdf",,,,,,,,,,
IH: Integrated Hessians,0.25,,,"The Integrated Hessians (IH) method (Janizek et al., 2020) extends this to interactions by applying the method to itself. In this way, the method describes how important j’s importance is to i, but is more easily understood as the feature interaction.
This method is able to enjoy a lot of the axioms coming from IG, but one of its major drawbacks is a result of not formalizing interactions and main effects. The term IHi,i is more like a residual term instead of the main effect, which can make it difficult to identify how much of the actual effects are being properly captured by this method https://arxiv.org/pdf/2103.03103.pdf",,,,,,,,,,
