source_paper_tag,Done (0 to 1),Method,Detail,Links,source_paper_bibliography,extra
paper tag from scholars,,,this row is a description of the columns,,,extra research we can not include in our repo that are intresting of xAI enthusiastic scientist
lundberg2018consistent,0.6,TreeSHAP,"Original Paper of TreeSHAP. Compares Saaba to treeshap",,"@article{lundberg2018consistent,
  title={Consistent individualized feature attribution for tree ensembles},
  author={Lundberg, Scott M and Erion, Gabriel G and Lee, Su-In},
  journal={arXiv preprint arXiv:1802.03888},
  year={2018}
}",
tsang2020does,1,Archipelago,compares archipelago to many other xai (focus on interaction),"https://github.com/mtsang/archipelago

https://arxiv.org/pdf/2006.10965.pdf   paper on neurips is shorter 

","@article{tsang2020does,
  title={How does this interaction affect me? interpretable attribution for feature interactions},
  author={Tsang, Michael and Rambhatla, Sirisha and Liu, Yan},
  journal={Advances in neural information processing systems},
  volume={33},
  pages={6147--6159},
  year={2020}
}",
sundararajan2020many,0.7,BShap,"prove that shapley values  are not unique. 
that bshap provides unique feature attribution.
Propose some new axioms",https://arxiv.org/pdf/1908.08474.pdf,"@inproceedings{sundararajan2020many,
  title={The many Shapley values for model explanation},
  author={Sundararajan, Mukund and Najmi, Amir},
  booktitle={International conference on machine learning},
  pages={9269--9278},
  year={2020},
  organization={PMLR}
}",
janzing2020feature,0.5,-,Critisize TreeShap given the problem of feature distribution,http://proceedings.mlr.press/v108/janzing20a/janzing20a.pdf,"@inproceedings{janzing2020feature,
  title={Feature relevance quantification in explainable AI: A causal problem},
  author={Janzing, Dominik and Minorics, Lenon and Bl{\""o}baum, Patrick},
  booktitle={International Conference on artificial intelligence and statistics},
  pages={2907--2916},
  year={2020},
  organization={PMLR}
}",
covert2020understanding,1,SAGE,SAGE is a faster way to calculate the average abs shap values so it is only limited to Feature importance but is is fast,"https://proceedings.neurips.cc/paper/2020/file/c7bf0b7c1a86d5eb3be2c722cf2cf746-Paper.pdf

https://github.com/iancovert/sage

https://iancovert.com/blog/understanding-shap-sage/ ","@article{covert2020understanding,
  title={Understanding global feature contributions with additive importance measures},
  author={Covert, Ian and Lundberg, Scott M and Lee, Su-In},
  journal={Advances in Neural Information Processing Systems},
  volume={33},
  pages={17212--17223},
  year={2020}
}",confidence of the F importance
liu2021synthetic,0.85,XAI-Bench,"(-) As a creator of an xai method i will probably not use it because I am not intrested if my values correlate with the expected conditional something
(-) 2 citations since it publication in NeurIPS 2021
after testing all xai on 5 metrics with sytetic data now they test it on real data and then get different numbers so what the point , what kind of conlusion can we get out of this ? is this experiment helping the comunity deciding which xai to pick ????   wine quality dataset [16, 60] and the forest fire dataset [17]

TODO understnd better the metrics to decide if I should include them in my repo",https://github.com/abacusai/xai-bench,"@article{liu2021synthetic,
  title={Synthetic benchmarks for scientific research in explainable machine learning},
  author={Liu, Yang and Khandagale, Sujay and White, Colin and Neiswanger, Willie},
  journal={arXiv preprint arXiv:2106.12543},
  year={2021}
}",
lakkaraju2020fool,1,test,how to make model agnostic xai based on feature perturbation fail to retreive the correct most important feature,"https://www.youtube.com/watch?v=4HyJIOenIlI&ab_channel=Harvard%27sCRCS
https://dl.acm.org/doi/pdf/10.1145/3375627.3375833","@inproceedings{lakkaraju2020fool,
  title={"" How do I fool you?"" Manipulating User Trust via Misleading Black Box Explanations},
  author={Lakkaraju, Himabindu and Bastani, Osbert},
  booktitle={Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society},
  pages={79--85},
  year={2020}
}",
mohseni2020benchmark,,Benchmark,"for images, use human evaluation",https://github.com/SinaMohseni/ML-Interpretability-Evaluation-Benchmark,"@article{mohseni2020benchmark,
  title={Quantitative Evaluation of Machine Learning Explanations: A Human-Grounded Benchmark},
  author={Mohseni, Sina and Block, Jeremy E and Ragan, Eric D},
  journal={arXiv preprint arXiv:1801.05075},
  year={2020}
}",
sattarzadeh2021svea,0.5,SVEA benchmark,benchmark using mnist-1D and didn t understand the metric :[,https://openaccess.thecvf.com/content/ICCV2021W/HTCV/papers/Sattarzadeh_SVEA_A_Small-Scale_Benchmark_for_Validating_the_Usability_of_Post-Hoc_ICCVW_2021_paper.pdf,"@inproceedings{sattarzadeh2021svea,
  title={SVEA: A Small-scale Benchmark for Validating the Usability of Post-hoc Explainable AI Solutions in Image and Signal Recognition},
  author={Sattarzadeh, Sam and Sudhakar, Mahesh and Plataniotis, Konstantinos N},
  booktitle={Proceedings of the IEEE/CVF International Conference on Computer Vision},
  pages={4158--4167},
  year={2021}
}",
rozemberczki2022shapley,0.5,survey,"survey about shapley values, no test, nothing special besides some intresting cited papers",https://arxiv.org/pdf/2202.05594.pdf,"@article{rozemberczki2022shapley,
  title={The Shapley Value in Machine Learning},
  author={Rozemberczki, Benedek and Watson, Lauren and Bayer, P{\'e}ter and Yang, Hao-Tsung and Kiss, Oliv{\'e}r and Nilsson, Sebastian and Sarkar, Rik},
  journal={arXiv preprint arXiv:2202.05594},
  year={2022}
}",
