explainer,is_documented,is_implemented,source_paper_tag,description,source_code,implementation_link,supported_models,outputs,output_attribution,output_importance,output_interaction,supported_model_model_agnostic,supported_model_tree_based,supported_model_neural_network,required_input_data,required_input_truth_to_explain,required_input_predict_func,required_input_trained_model,required_input_ml_task,required_input_input_features,required_input_predict_proba,required_input_X,required_input_X_reference,time_per_test
ACV and ACVTree,,to implement,,,https://github.com/salimamoukou/acv00   It provides a better estimation of Shapley Values for tree-based model (more accurate than path-dependent TreeSHAP). It also proposes new Shapley Values that have better local fidelity. and the correct way of computing Shapley Values of categorical variables after encoding (eg. One Hot or Dummy etc.),,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
AG,0.25,,,"Additive Groves (AG) method (Sorokina et al., 2008). This method is notable
because it detects interactions using high-performance random forest models while accounting for the
non-additive definition of feature interaction. This essentially allows the detected feature interaction
to be unrestricted to a functional form (e.g. multiplication xixj ) which was a big step forward at
the time. AG tests each of these interactions by comparing two regression trees, one that fits all
interactions, and the other that has the interaction of interest forcibly removed. The main issue
with this method is it exacerbates the slowness of individual testing methods which require many
tests by forcing a complex model to be trained for each test.
https://arxiv.org/pdf/2103.03103.pdf ",,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
BShap: Baseline Shapley,0.25,to implement,sundararajan2020many,Is unique (in constrast with shapley values) need a baseline to provide local explanation,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
CD: Contextual Decomposition,0.25,,,"variant of SCD [35,42], see tsang2020does
Agglomerative Contextual Decomposition: Agglomerative Contextual Decomposition (ACD) (Singh et al., 2019) is a hierarchical extension of Contextual Decomposition (Murdoch et al., 2018) which was originally designed for LSTMs. This method extended the additive decomposition to NNs in general by adding technical solutions for the method to work on convolutions and maxpooling, both common  perations in CNNs. The method decomposes each layer as:
gi(x) = βi(x) + γi(x)
Each gi denotes a layer of the network and where β denotes the contribution only by the features of interest and γ denotes the residual contribution for the model. Thus, the β values can be seen as the interaction effect of a certain group of features when it is the final β value from the logit/ prediction layer. The method then accumulates these scores into a tree hierarchy over the input. Because this work was designed for text and images, this looks something like a tree of word subsets with their corresponding polarity or image patches with their corresponding classes. A primary weakness is this method also fails many axiomatic interaction scores because of its formulation. A minor weakness is the computation time required by the iterative, hierarchical, full-explanation approach. This is because a partial hierarchy could be computed if desired and many pieces of this framework are flexible for quicker or even different inference.
",,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
DeepLIFT,0.0,,,,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
Difference,0.0,,,,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
FAE,0.25,,,see kumar2020problems,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
Feature Ablation,0.25,,,feature importance cited in covert2020understanding,,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
IG: Integrated Gradients,0.25,to implement,,"IG is an analog of the Aumann-Shapley method from cost-sharing [4]. We will discuss the sense in which IG is an extension of the Shapley value in Section 4.1 https://arxiv.org/pdf/1908.08474.pdf 

IG uses the fundamental theorem of calculus to provide additive explanations of a prediction (Sundararajan et al., 2017). This method is very popular in computer vision where its computational efficiency and saliency are prized, even though other work has exposed some of its shortcomings in providing an interpretation (Adebayo et al., 2018).  see  https://arxiv.org/pdf/2103.03103.pdf 

The Integrated Gradients (IG) (Sundararajan et al., 2017) is an extremely
popular path integration method used for feature attribution. It obeys a host of axioms similar to
Shapley index while also being applicable to continuous input variables. It uses the following equation
to integrate over the model’s decision output F from a baseline input x’ to the input of interest x
with a linear interpolation.Because it works on any differentiable model, it has become a staple for interpretation in some deep learning communities. https://arxiv.org/pdf/2103.03103.pdf",,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
IH: Integrated Hessians,0.25,,,"The Integrated Hessians (IH) method (Janizek et al., 2020) extends this to interactions by applying the method to itself. In this way, the method describes how important j’s importance is to i, but is more easily understood as the feature interaction. 
This method is able to enjoy a lot of the axioms coming from IG, but one of its major drawbacks is a result of not formalizing interactions and main effects. The term IHi,i is more like a residual term instead of the main effect, which can make it difficult to identify how much of the actual effects are being properly captured by this method https://arxiv.org/pdf/2103.03103.pdf",,,"
			 - ","
			 - ",,,,,,,,,,,,,,,,
