dataset,features_varied,metrics,numb_of_cfs,f1_score
Admission,all,dice,100,0.7572815533980584
Admission,all,dice,100,0.7410358565737053
Admission,all,dice,100,0.8240343347639485
Admission,all,dice,100,0.8097165991902835
Admission,all,dice,100,0.8484848484848484
Admission,all,dice,100,0.8319327731092437
Admission,all,dice,100,0.8425531914893618
Admission,all,dice,100,0.6523605150214592
Admission,all,dice,100,0.8384279475982533
Admission,all,dice,100,0.3974358974358974
Admission,all,dice,100,0.6666666666666666
Admission,all,dice,100,0.8064516129032258
Admission,all,dice,100,0.8185654008438819
Admission,all,dice,100,0.6347826086956522
Admission,all,dice,100,0.8412017167381973
Admission,all,dice,100,0.2535211267605634
Admission,all,dice,100,0.8584070796460176
Admission,all,dice,100,0.8319327731092437
Admission,all,dice,100,0.8157894736842105
Admission,all,dice,100,0.6722689075630253
Admission,all,dice,100,0.8403361344537814
Admission,all,dice,100,0.3576158940397351
Admission,all,dice,100,0.20800000000000002
Admission,all,dice,100,0.8319327731092437
Admission,all,dice,100,0.8311688311688312
Admission,all,dice,100,0.6916666666666667
Admission,all,dice,100,0.8376068376068375
Admission,all,dice,100,0.6206896551724137
Admission,all,dice,100,0.6477272727272728
Admission,all,dice,100,0.8319327731092437
Admission,all,dice_3,100,0.8125
Admission,all,dice_3,100,0.7258064516129032
Admission,all,dice_3,100,0.8205128205128206
Admission,all,dice_3,100,0.8474576271186441
Admission,all,dice_3,100,0.8032128514056226
Admission,all,dice_3,100,0.8148148148148148
Admission,all,dice_3,100,0.7894736842105263
Admission,all,dice_3,100,0.6887966804979253
Admission,all,dice_3,100,0.8340425531914895
Admission,all,dice_3,100,0.8438818565400844
Admission,all,dice_3,100,0.8163265306122449
Admission,all,dice_3,100,0.8130081300813007
Admission,all,dice_3,100,0.8303571428571428
Admission,all,dice_3,100,0.7607843137254902
Admission,all,dice_3,100,0.832618025751073
Admission,all,dice_3,100,0.8583690987124464
Admission,all,dice_3,100,0.7812500000000001
Admission,all,dice_3,100,0.8284518828451883
Admission,all,dice_3,100,0.8141592920353983
Admission,all,dice_3,100,0.7258064516129032
Admission,all,dice_3,100,0.8220338983050849
Admission,all,dice_3,100,0.8333333333333333
Admission,all,dice_3,100,0.6285714285714286
Admission,all,dice_3,100,0.8319327731092437
Admission,all,dice_3,100,0.832618025751073
Admission,all,dice_3,100,0.7183673469387755
Admission,all,dice_3,100,0.8319327731092437
Admission,all,dice_3,100,0.8474576271186441
Admission,all,dice_3,100,0.8032786885245902
Admission,all,dice_3,100,0.8319327731092437
Admission,all,rand,100,0.8666666666666667
Admission,all,rand,100,0.663755458515284
Admission,all,rand,100,0.6900584795321637
Admission,all,rand,100,0.845771144278607
Admission,all,rand,100,0.8547008547008548
Admission,all,rand,100,0.8609865470852018
Admission,all,rand,100,0.8708133971291867
Admission,all,rand,100,0.6808510638297872
Admission,all,rand,100,0.8636363636363635
Admission,all,rand,100,0.8508771929824562
Admission,all,rand,100,0.861244019138756
Admission,all,rand,100,0.8755760368663594
Admission,all,rand,100,0.7486033519553073
Admission,all,rand,100,0.6792452830188679
Admission,all,rand,100,0.7428571428571429
Admission,all,rand,100,0.8474576271186441
Admission,all,rand,100,0.8646288209606987
Admission,all,rand,100,0.8241206030150754
Admission,all,rand,100,0.8412017167381973
Admission,all,rand,100,0.6752136752136753
Admission,all,rand,100,0.8118811881188118
Admission,all,rand,100,0.8380952380952381
Admission,all,rand,100,0.8412017167381973
Admission,all,rand,100,0.8609865470852018
Admission,all,rand,100,0.7537688442211055
Admission,all,rand,100,0.46
Admission,all,rand,100,0.8309178743961353
Admission,all,rand,100,0.7374301675977653
Admission,all,rand,100,0.8474576271186441
Admission,all,rand,100,0.8744186046511627
Admission,all,abno,100,0.851063829787234
Admission,all,abno,100,0.5111111111111112
Admission,all,abno,100,0.8217821782178217
Admission,all,abno,100,0.7904761904761904
Admission,all,abno,100,0.8596491228070174
Admission,all,abno,100,0.8474576271186441
Admission,all,abno,100,0.851063829787234
Admission,all,abno,100,0.3087248322147651
Admission,all,abno,100,0.8571428571428572
Admission,all,abno,100,0.7699999999999999
Admission,all,abno,100,0.8634361233480176
Admission,all,abno,100,0.8733624454148472
Admission,all,abno,100,0.8376068376068375
Admission,all,abno,100,0.37500000000000006
Admission,all,abno,100,0.8611111111111112
Admission,all,abno,100,0.796116504854369
Admission,all,abno,100,0.8284518828451883
Admission,all,abno,100,0.8733624454148472
Admission,all,abno,100,0.851063829787234
Admission,all,abno,100,0.189873417721519
Admission,all,abno,100,0.8611111111111112
Admission,all,abno,100,0.8173913043478259
Admission,all,abno,100,0.8583690987124464
Admission,all,abno,100,0.8733624454148472
Admission,all,abno,100,0.8474576271186441
Admission,all,abno,100,0.3448275862068966
Admission,all,abno,100,0.8611111111111112
Admission,all,abno,100,0.8347826086956522
Admission,all,abno,100,0.8403361344537814
Admission,all,abno,100,0.8264462809917354
Admission,all,gene,100,0.8412017167381973
Admission,all,gene,100,0.7533632286995516
Admission,all,gene,100,0.8471615720524017
Admission,all,gene,100,0.8474576271186441
Admission,all,gene,100,0.8474576271186441
Admission,all,gene,100,0.8474576271186441
Admission,all,gene,100,0.8474576271186441
Admission,all,gene,100,0.6666666666666667
Admission,all,gene,100,0.8362068965517241
Admission,all,gene,100,0.8465116279069768
Admission,all,gene,100,0.8634361233480176
Admission,all,gene,100,0.8733624454148472
Admission,all,gene,100,0.8461538461538461
Admission,all,gene,100,0.7753303964757708
Admission,all,gene,100,0.8471615720524017
Admission,all,gene,100,0.8506787330316741
Admission,all,gene,100,0.8298755186721991
Admission,all,gene,100,0.8660714285714286
Admission,all,gene,100,0.8448275862068965
Admission,all,gene,100,0.7363636363636364
Admission,all,gene,100,0.8421052631578947
Admission,all,gene,100,0.8438818565400844
Admission,all,gene,100,0.8130081300813007
Admission,all,gene,100,0.8733624454148472
Admission,all,gene,100,0.8461538461538461
Admission,all,gene,100,0.763157894736842
Admission,all,gene,100,0.8584070796460176
Admission,all,gene,100,0.8412017167381973
Admission,all,gene,100,0.8461538461538461
Admission,all,gene,100,0.8319327731092437
Admission,all,prox,100,0.8368200836820083
Admission,all,prox,100,0.6837606837606838
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8163265306122449
Admission,all,prox,100,0.819672131147541
Admission,all,prox,100,0.819672131147541
Admission,all,prox,100,0.851063829787234
Admission,all,prox,100,0.6837606837606838
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8032128514056226
Admission,all,prox,100,0.8163265306122449
Admission,all,prox,100,0.819672131147541
Admission,all,prox,100,0.8438818565400844
Admission,all,prox,100,0.7160493827160495
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8298755186721991
Admission,all,prox,100,0.8097165991902835
Admission,all,prox,100,0.8646288209606987
Admission,all,prox,100,0.8438818565400844
Admission,all,prox,100,0.7160493827160495
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8438818565400844
Admission,all,prox,100,0.8
Admission,all,prox,100,0.8547008547008548
Admission,all,prox,100,0.8333333333333333
Admission,all,prox,100,0.6837606837606838
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8
Admission,all,prox,100,0.8
Admission,all,prox,100,0.819672131147541
Admission,all,obta,100,0.8088888888888889
Admission,all,obta,100,0.7532467532467532
Admission,all,obta,100,0.8240343347639485
Admission,all,obta,100,0.3221476510067114
Admission,all,obta,100,0.8264462809917354
